,CO2-20-it(1a).csv_similarities,CO2-20-it(1a).csv_value,CO2-20-it(3a).csv_similarities,CO2-20-it(3a).csv_value,CO2-20-it(2a).csv_similarities,CO2-20-it(2a).csv_value,CO2-20-it(0a).csv_similarities,CO2-20-it(0a).csv_value,CO2-20-it(4a).csv_similarities,CO2-20-it(4a).csv_value
0,1.0,0.885,1.0,0.885,1.0,0.885,1.0,0.885,1.0,0.885
1,0.8054892601431981,0.99,1.0,0.89,0.7686915887850467,0.858,0.7075949367088608,0.992,0.6706302021403091,1.428
2,0.7708095781071835,0.959,invalid_smiles,0.0,0.6512141280353201,0.997,0.7161016949152542,0.865,0.6524741081703107,1.358
3,0.7162447257383966,0.866,1.0,0.88,0.5790960451977402,0.895,0.7030114226375909,0.853,0.58948432760364,1.217
4,0.7259100642398287,1.086,1.0,0.933,0.6235541535226078,0.911,0.7815420560747663,0.977,0.5653002859866539,1.062
5,0.7681818181818182,0.954,invalid_smiles,0.0,0.5722070844686649,0.861,0.7255113024757804,0.98,invalid_smiles,0.0
6,0.7420765027322405,0.95,1.0,0.971,0.6382754994742377,1.27,0.8054892601431981,0.99,0.6706302021403091,1.449
7,0.7737142857142857,0.955,1.0,0.979,0.7039911308203991,0.974,0.6905781584582441,1.278,0.5796676441837733,1.101
8,0.7197049525816649,1.026,0.7547368421052632,0.937,0.6659167604049494,0.999,0.6276595744680851,1.644,0.6265060240963856,1.398
9,0.7069864442127216,0.848,1.0,0.96,0.5933014354066986,1.1,0.6289855072463768,1.409,0.5607917059377945,1.253
10,0.7467105263157895,0.939,1.0,0.984,0.6830357142857143,0.867,invalid_smiles,0.0,0.5643469971401335,1.153
11,0.7279569892473118,0.926,1.0,0.957,0.6130030959752322,1.018,invalid_smiles,0.0,0.6280087527352297,1.312
12,0.7251336898395722,0.931,invalid_smiles,0.0,0.5965965965965966,1.039,invalid_smiles,0.0,0.6178686759956943,1.278
13,0.703205791106515,0.881,0.9917582417582418,0.912,0.7137767220902613,1.054,invalid_smiles,0.0,0.5753694581280788,1.234
14,0.7301927194860813,1.13,1.0,0.944,0.6770255271920089,1.06,invalid_smiles,0.0,0.5707456978967496,1.189
15,0.7524972253052165,0.934,1.0,0.982,0.6562835660580022,1.076,invalid_smiles,0.0,0.5938144329896907,1.356
16,0.7603583426651735,0.864,0.7547368421052632,0.943,0.6598272138228942,1.091,invalid_smiles,0.0,0.6104712041884817,1.295
17,0.7617977528089888,1.027,1.0,0.965,0.6641386782231853,1.091,0.6289855072463768,0.0,0.5830039525691699,1.261
18,0.7162447257383966,0.866,1.0,0.977,0.650692225772098,1.109,,,0.5483576642335767,1.217
19,0.7399347116430903,0.981,0.7630180658873539,0.979,0.6535181236673774,1.109,,,0.5156382079459002,1.172
