,WDR5-20-it(1).csv_similarities,WDR5-20-it(1).csv_value,WDR5-20-it(0).csv_similarities,WDR5-20-it(0).csv_value,WDR5-20-it(3).csv_similarities,WDR5-20-it(3).csv_value,WDR5-20-it(2).csv_similarities,WDR5-20-it(2).csv_value,WDR5-20-it(4).csv_similarities,WDR5-20-it(4).csv_value
0,1.0,-6.7,1.0,-6.7,1.0,-6.7,1.0,-6.7,1.0,-6.7
1,0.7152777777777778,-8.3,0.8058252427184466,-6.6,0.7525252525252525,-7.2,0.7525252525252525,-7.2,0.8592848904267589,-7.9
2,0.7152777777777778,-7.8,0.8083028083028083,-7.6,0.6091234347048301,-6.8,0.6091234347048301,-6.8,0.6601178781925344,-8.0
3,0.6906077348066298,-8.4,0.5933333333333334,-7.6,0.6729900632339657,-7.8,0.4588150289017341,-6.5,0.634313725490196,-6.5
4,0.6756176154672395,-8.2,0.588170865279299,-8.4,0.5335489086499596,-7.4,0.5938945420906568,-7.4,0.5242085661080075,-7.5
5,0.6953125,-8.9,0.574468085106383,-8.3,0.6575463371579876,-7.0,0.5819004524886878,-7.3,0.6123748862602366,-7.2
6,0.6796959826275787,-8.9,0.3633414436334144,-7.9,0.6529360210341806,-6.3,0.41914191419141916,-8.0,0.5615848406546081,-7.3
7,0.6767241379310345,-8.2,0.5537848605577689,-8.1,0.4517766497461929,-6.9,0.3498427672955975,-7.7,0.6348314606741573,-7.2
8,0.7016949152542373,-8.9,0.47088866189989786,-8.2,0.6335034013605442,-6.7,0.3523076923076923,-7.2,0.624655013799448,-9.2
9,0.6875687568756875,-9.1,0.3700189753320683,-8.2,0.5857632933104632,-7.7,0.4189723320158103,-8.0,0.6008733624454149,-8.5
10,0.6709539121114684,-8.5,0.5637305699481865,-8.2,0.5716666666666667,-6.9,0.4005784526391902,-7.3,0.6139705882352942,-8.0
11,0.5701191567369386,-8.9,0.5849673202614379,-7.9,0.5491183879093199,-7.2,0.4204368174726989,-8.3,0.5896995708154507,-9.0
12,0.6466395112016293,-7.4,0.5225390984360626,-8.0,0.6598759964570416,-6.9,0.4083577712609971,-8.0,0.5025817555938038,-9.0
13,0.6695095948827292,-8.9,0.5117466802860061,-7.9,0.6265769554247267,-7.2,0.3973607038123167,-7.7,0.5383360522022839,-8.2
14,0.6332665330661322,-8.9,0.5619242579324463,-8.7,0.6575463371579876,-7.1,0.37209302325581395,-8.2,0.5861182519280206,-8.2
15,0.6659641728134879,-7.4,0.5499001996007984,-8.6,0.6308213378492803,-7.3,0.3651567944250871,-7.2,0.602112676056338,-8.8
16,0.4493464052287582,-9.5,0.5315487571701721,-8.8,0.6478260869565218,-7.0,0.4133738601823708,-8.5,0.6149068322981367,-8.9
17,0.43942992874109266,-9.3,0.5613346418056918,-8.9,0.6478260869565218,-7.1,0.40965618141916604,-7.7,0.570957095709571,-8.7
18,0.45179738562091504,-7.4,0.5591397849462365,-8.7,0.6308213378492803,-7.2,0.4004474272930649,-8.3,0.624655013799448,-8.6
